Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2017080242045,1-Aug-17,7/25/2017 8:45,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checkpoint,Currency,-,In Review
2017121846062,1-Dec-17,10/9/2017 7:30,BUF,Buffalo Niagara International,-,Property Damage,Checked Baggage,Computer & Accessories,-,*Insufficient
2017071241451,1-Jun-17,5/19/2017 14:00,BUF,Buffalo Niagara International,Southwest Airlines,Property Damage,Checked Baggage,Home Decor,-,In Review
2017082542492,2-Aug-17,7/16/2017 0:00,BUF,Buffalo Niagara International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017091443125,2-Aug-17,7/31/2017 0:00,BUF,Buffalo Niagara International,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017040438336,3-Feb-17,1/16/2017 21:00,BUF,Buffalo Niagara International,Delta Air Lines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$115.00,Approve in Full
2017102544671,4-Oct-17,9/12/2017 0:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
2018010546538,6-Dec-17,11/22/2017 0:00,BUF,Buffalo Niagara International,UAL,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
2017072441775,6-Jun-17,6/5/2017 0:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017092043257,7-Aug-17,7/24/2017 17:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
2017121646014,8-Nov-17,11/1/2017 11:00,BUF,Buffalo Niagara International,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
2017121746015,8-Nov-17,11/4/2017 9:00,BUF,Buffalo Niagara International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,-,In Review
2017050539232,9-Mar-17,2/5/2017 0:00,BUF,Buffalo Niagara International,American Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
2018010346408,14-Dec-17,11/12/2017 5:00,BUF,Buffalo Niagara International,Delta Air Lines,Property Damage,Checkpoint,Cosmetics & Grooming,-,In Review
